"","Var1","Freq","moving_average","acumulados"
"1",2020-01-01,3,0,3
"2",2020-01-02,8,0,11
"3",2020-01-03,8,0,19
"4",2020-01-04,6,0,25
"5",2020-01-05,4,0,29
"6",2020-01-06,6,0,35
"7",2020-01-07,9,6.28571428571429,44
"8",2020-01-08,10,7.28571428571429,54
"9",2020-01-09,9,7.42857142857143,63
"10",2020-01-10,6,7.14285714285714,69
"11",2020-01-11,3,6.71428571428571,72
"12",2020-01-12,5,6.85714285714286,77
"13",2020-01-13,7,7,84
"14",2020-01-14,5,6.42857142857143,89
"15",2020-01-15,7,6,96
"16",2020-01-16,11,6.28571428571429,107
"17",2020-01-17,11,7,118
"18",2020-01-18,3,7,121
"19",2020-01-19,10,7.71428571428571,131
"20",2020-01-20,8,7.85714285714286,139
"21",2020-01-21,19,9.85714285714286,158
"22",2020-01-22,4,9.42857142857143,162
"23",2020-01-23,11,9.42857142857143,173
"24",2020-01-24,5,8.57142857142857,178
"25",2020-01-25,1,8.28571428571429,179
"26",2020-01-26,6,7.71428571428571,185
"27",2020-01-27,15,8.71428571428571,200
"28",2020-01-28,9,7.28571428571429,209
"29",2020-01-29,7,7.71428571428571,216
"30",2020-01-30,15,8.28571428571429,231
"31",2020-01-31,11,9.14285714285714,242
"32",2020-02-01,11,10.5714285714286,253
"33",2020-02-02,10,11.1428571428571,263
"34",2020-02-03,10,10.4285714285714,273
"35",2020-02-04,10,10.5714285714286,283
"36",2020-02-05,20,12.4285714285714,303
"37",2020-02-06,19,13,322
"38",2020-02-07,11,13,333
"39",2020-02-08,7,12.4285714285714,340
"40",2020-02-09,5,11.7142857142857,345
"41",2020-02-10,13,12.1428571428571,358
"42",2020-02-11,10,12.1428571428571,368
"43",2020-02-12,17,11.7142857142857,385
"44",2020-02-13,14,11,399
"45",2020-02-14,8,10.5714285714286,407
"46",2020-02-15,6,10.4285714285714,413
"47",2020-02-16,14,11.7142857142857,427
"48",2020-02-17,27,13.7142857142857,454
"49",2020-02-18,30,16.5714285714286,484
"50",2020-02-19,26,17.8571428571429,510
"51",2020-02-20,23,19.1428571428571,533
"52",2020-02-21,33,22.7142857142857,566
"53",2020-02-22,20,24.7142857142857,586
"54",2020-02-23,12,24.4285714285714,598
"55",2020-02-24,31,25,629
"56",2020-02-25,48,27.5714285714286,677
"57",2020-02-26,45,30.2857142857143,722
"58",2020-02-27,56,35,778
"59",2020-02-28,49,37.2857142857143,827
"60",2020-02-29,49,41.4285714285714,876
"61",2020-03-01,50,46.8571428571429,926
"62",2020-03-02,80,53.8571428571429,1006
"63",2020-03-03,117,63.7142857142857,1123
"64",2020-03-04,134,76.4285714285714,1257
"65",2020-03-05,185,94.8571428571429,1442
"66",2020-03-06,209,117.714285714286,1651
"67",2020-03-07,244,145.571428571429,1895
"68",2020-03-08,266,176.428571428571,2161
"69",2020-03-09,389,220.571428571429,2550
"70",2020-03-10,496,274.714285714286,3046
"71",2020-03-11,667,350.857142857143,3713
"72",2020-03-12,865,448,4578
"73",2020-03-13,985,558.857142857143,5563
"74",2020-03-14,1122,684.285714285714,6685
"75",2020-03-15,1151,810.714285714286,7836
"76",2020-03-16,1617,986.142857142857,9453
"77",2020-03-17,2117,1217.71428571429,11570
"78",2020-03-18,2725,1511.71428571429,14295
"79",2020-03-19,3098,1830.71428571429,17393
"80",2020-03-20,3466,2185.14285714286,20859
"81",2020-03-21,3734,2558.28571428571,24593
"82",2020-03-22,3272,2861.28571428571,27865
"83",2020-03-23,4121,3219,31986
"84",2020-03-24,5303,3674.14285714286,37289
"85",2020-03-25,5327,4045.85714285714,42616
"86",2020-03-26,5521,4392,48137
"87",2020-03-27,5228,4643.71428571429,53365
"88",2020-03-28,4020,4684.57142857143,57385
"89",2020-03-29,3252,4681.71428571429,60637
"90",2020-03-30,4046,4671,64683
"91",2020-03-31,4413,4543.85714285714,69096
"92",2020-04-01,3955,4347.85714285714,73051
"93",2020-04-02,3383,4042.42857142857,76434
"94",2020-04-03,3124,3741.85714285714,79558
"95",2020-04-04,2298,3495.85714285714,81856
"96",2020-04-05,1741,3280,83597
"97",2020-04-06,2364,3039.71428571429,85961
"98",2020-04-07,2498,2766.14285714286,88459
"99",2020-04-08,2242,2521.42857142857,90701
"100",2020-04-09,2083,2335.71428571429,92784
"101",2020-04-10,1801,2146.71428571429,94585
"102",2020-04-11,1402,2018.71428571429,95987
"103",2020-04-12,1106,1928,97093
"104",2020-04-13,1281,1773.28571428571,98374
"105",2020-04-14,1526,1634.42857142857,99900
"106",2020-04-15,1348,1506.71428571429,101248
"107",2020-04-16,1212,1382.28571428571,102460
"108",2020-04-17,1114,1284.14285714286,103574
"109",2020-04-18,818,1200.71428571429,104392
"110",2020-04-19,652,1135.85714285714,105044
"111",2020-04-20,815,1069.28571428571,105859
"112",2020-04-21,855,973.428571428571,106714
"113",2020-04-22,695,880.142857142857,107409
"114",2020-04-23,609,794,108018
"115",2020-04-24,594,719.714285714286,108612
"116",2020-04-25,435,665,109047
"117",2020-04-26,297,614.285714285714,109344
"118",2020-04-27,470,565,109814
"119",2020-04-28,446,506.571428571429,110260
"120",2020-04-29,355,458,110615
"121",2020-04-30,356,421.857142857143,110971
"122",2020-05-01,247,372.285714285714,111218
"123",2020-05-02,201,338.857142857143,111419
"124",2020-05-03,175,321.428571428571,111594
"125",2020-05-04,271,293,111865
"126",2020-05-05,273,268.285714285714,112138
"127",2020-05-06,251,253.428571428571,112389
"128",2020-05-07,223,234.428571428571,112612
"129",2020-05-08,190,226.285714285714,112802
"130",2020-05-09,139,217.428571428571,112941
"131",2020-05-10,121,209.714285714286,113062
"132",2020-05-11,146,191.857142857143,113208
"133",2020-05-12,139,172.714285714286,113347
"134",2020-05-13,122,154.285714285714,113469
"135",2020-05-14,112,138.428571428571,113581
"136",2020-05-15,111,127.142857142857,113692
"137",2020-05-16,86,119.571428571429,113778
"138",2020-05-17,57,110.428571428571,113835
"139",2020-05-18,76,100.428571428571,113911
"140",2020-05-19,92,93.7142857142857,114003
"141",2020-05-20,80,87.7142857142857,114083
"142",2020-05-21,77,82.7142857142857,114160
"143",2020-05-22,70,76.8571428571429,114230
"144",2020-05-23,59,73,114289
"145",2020-05-24,41,70.7142857142857,114330
"146",2020-05-25,61,68.5714285714286,114391
"147",2020-05-26,69,65.2857142857143,114460
"148",2020-05-27,57,62,114517
"149",2020-05-28,54,58.7142857142857,114571
"150",2020-05-29,57,56.8571428571429,114628
"151",2020-05-30,41,54.2857142857143,114669
"152",2020-05-31,29,52.5714285714286,114698
"153",2020-06-01,35,48.8571428571429,114733
"154",2020-06-02,53,46.5714285714286,114786
"155",2020-06-03,44,44.7142857142857,114830
"156",2020-06-04,43,43.1428571428571,114873
"157",2020-06-05,41,40.8571428571429,114914
"158",2020-06-06,17,37.4285714285714,114931
"159",2020-06-07,24,36.7142857142857,114955
"160",2020-06-08,28,35.7142857142857,114983
"161",2020-06-09,35,33.1428571428571,115018
"162",2020-06-10,22,30,115040
